
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------


18/11/2021 20:59:01 CHANNEL has been initialised

18/11/2021 20:59:01 SENDER-3 starts sending data to RECEIVER3
18/11/2021 20:59:01 SENDER-4 starts sending data to RECEIVER4
18/11/2021 20:59:37 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:37 SENDER-4    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:37 RECEIVER-2  ||  PACKET RECEIVED



********************** 18/11/2021 20:59:38 SENDER-2 HAS SENT ALL ITS PACKETS **********************

18/11/2021 20:59:38 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:38 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:38 SENDER-4    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:38 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 20:59:38 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:39 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:39 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:39 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 20:59:39 SENDER-4    ||  PACKET 11 SENT TO CHANNEL
18/11/2021 20:59:39 SENDER-3    ||  COLLISION
18/11/2021 20:59:39 SENDER-3    ||  PACKET 7 SENT TO CHANNEL

18/11/2021 20:59:40 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 20:59:40 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:40 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:41 SENDER-4    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:41 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 20:59:41 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:41 SENDER-4    ||  PACKET 12 SENT TO CHANNEL
18/11/2021 20:59:42 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:42 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:42 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 20:59:42 SENDER-4    ||  PACKET 13 SENT TO CHANNEL
18/11/2021 20:59:43 SENDER-3    ||  COLLISION
18/11/2021 20:59:43 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 20:59:43 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 20:59:43 RECEIVER-4  ||  PACKET RECEIVED



********************** 18/11/2021 20:59:44 SENDER-4 HAS SENT ALL ITS PACKETS **********************

18/11/2021 20:59:44 SENDER-3    ||  PACKET 8 SENT TO CHANNEL

18/11/2021 20:59:45 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 20:59:45 SENDER-3    ||  PACKET 9 SENT TO CHANNEL

18/11/2021 20:59:46 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 20:59:46 SENDER-3    ||  PACKET 10 SENT TO CHANNEL

18/11/2021 20:59:47 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 20:59:47 SENDER-3    ||  PACKET 11 SENT TO CHANNEL

18/11/2021 20:59:48 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 20:59:48 SENDER-3    ||  PACKET 12 SENT TO CHANNEL

18/11/2021 20:59:49 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 20:59:49 SENDER-3    ||  PACKET 13 SENT TO CHANNEL

18/11/2021 20:59:50 RECEIVER-3  ||  PACKET RECEIVED



********************** 18/11/2021 20:59:50 SENDER-3 HAS SENT ALL ITS PACKETS **********************


-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : NON PERSISTENT METHOD ########
-----------------------------------------------------------------------------


18/11/2021 21:01:09 CHANNEL has been initialised

18/11/2021 21:01:09 SENDER-2 starts sending data to RECEIVER2
18/11/2021 21:01:09 SENDER-3 starts sending data to RECEIVER3
18/11/2021 21:01:09 SENDER-4 starts sending data to RECEIVER4
18/11/2021 21:01:09 SENDER-1    ||  PACKET 1 SENT TO CHANNEL
18/11/2021 21:01:09 SENDER-2    ||  PACKET 1 SENT TO CHANNEL
18/11/2021 21:01:09 SENDER-4    ||  PACKET 1 SENT TO CHANNEL

18/11/2021 21:01:10 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 21:01:10 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:10 SENDER-4    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:10 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:10 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 21:01:10 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 21:01:11 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:11 SENDER-4    ||  FOUND CHANNEL BUSY

18/11/2021 21:01:11 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 21:01:12 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:12 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:12 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 21:01:12 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 21:01:13 SENDER-1    ||  PACKET 2 SENT TO CHANNEL
18/11/2021 21:01:13 SENDER-3    ||  COLLISION
18/11/2021 21:01:13 SENDER-2    ||  COLLISION
18/11/2021 21:01:13 SENDER-2    ||  PACKET 2 SENT TO CHANNEL
18/11/2021 21:01:13 SENDER-3    ||  PACKET 2 SENT TO CHANNEL

18/11/2021 21:01:14 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 21:01:14 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:14 SENDER-2    ||  FOUND CHANNEL BUSY

18/11/2021 21:01:15 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 21:01:15 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:15 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:15 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 21:01:15 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 21:01:16 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:16 SENDER-2    ||  FOUND CHANNEL BUSY

18/11/2021 21:01:16 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 21:01:17 SENDER-1    ||  PACKET 3 SENT TO CHANNEL
18/11/2021 21:01:17 SENDER-4    ||  PACKET 3 SENT TO CHANNEL
18/11/2021 21:01:17 SENDER-3    ||  PACKET 3 SENT TO CHANNEL

18/11/2021 21:01:18 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 21:01:18 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:18 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:18 SENDER-4    ||  FOUND CHANNEL BUSY

18/11/2021 21:01:19 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 21:01:19 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:19 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:19 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 21:01:20 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 21:01:20 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:20 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:20 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 21:01:20 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 21:01:21 SENDER-1    ||  PACKET 4 SENT TO CHANNEL
18/11/2021 21:01:21 SENDER-2    ||  PACKET 4 SENT TO CHANNEL

18/11/2021 21:01:22 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 21:01:22 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:23 SENDER-3    ||  FOUND CHANNEL BUSY

18/11/2021 21:01:23 RECEIVER-2  ||  PACKET RECEIVED

18/11/2021 21:01:23 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:24 SENDER-2    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:24 SENDER-4    ||  FOUND CHANNEL BUSY

18/11/2021 21:01:24 RECEIVER-4  ||  PACKET RECEIVED

18/11/2021 21:01:24 SENDER-1    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:25 SENDER-3    ||  FOUND CHANNEL BUSY
18/11/2021 21:01:25 SENDER-2    ||  FOUND CHANNEL BUSY

18/11/2021 21:01:25 RECEIVER-3  ||  PACKET RECEIVED

18/11/2021 21:01:25 SENDER-1    ||  PACKET 5 SENT TO CHANNEL
18/11/2021 21:01:26 SENDER-3    ||  PACKET 5 SENT TO CHANNEL

18/11/2021 21:01:26 RECEIVER-1  ||  PACKET RECEIVED

18/11/2021 21:01:26 SENDER-1    ||  FOUND CHANNEL BUSY
